NAME,Metricname,SeenNum,SeenDenom,SeenAvg,LastUpdate
Bellingham Bay Medical Center,AAA Screening,104,334,0.2319,00:04.1
Birch Bay Family Medicine,AAA Screening,10,241,0.0385,00:04.1
Everson Family Medicine,AAA Screening,26,121,0.2149,00:04.1
Family Health Associates,AAA Screening,106,386,0.2678,00:04.1
Ferndale Family Medical Center,AAA Screening,20,320,0.1019,00:04.1
Island Family Physicians,AAA Screening,5,255,0.0284,00:04.1
Lynden Family Medicine,AAA Screening,12,345,0.2244,00:04.1
North Cascade Family Physicians,AAA Screening,88,482,0.1979,00:04.1
North Sound Family Medicine,AAA Screening,158,578,0.2577,00:04.1
Squalicum Family Medicine,AAA Screening,69,269,0.2088,00:04.1
Whatcom Family Medicine,AAA Screening,69,176,0.432,00:04.1
Bellingham Bay Medical Center,Advance Directive - Patients >55yrs w/Advance Directive ,370,3339,0.1085,00:04.1
Birch Bay Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,126,1983,0.066,00:04.1
Everson Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,119,1049,0.1141,00:04.1
Family Health Associates,Advance Directive - Patients >55yrs w/Advance Directive ,433,4268,0.1021,00:04.1
Ferndale Family Medical Center,Advance Directive - Patients >55yrs w/Advance Directive ,352,2967,0.1187,00:04.1
Island Family Physicians,Advance Directive - Patients >55yrs w/Advance Directive ,469,2794,0.177,00:04.1
Lynden Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,546,3963,0.1224,00:04.1
North Cascade Family Physicians,Advance Directive - Patients >55yrs w/Advance Directive ,218,4893,0.0472,00:04.1
North Sound Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,707,5070,0.1333,00:04.1
Squalicum Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,417,3257,0.1275,00:04.1
Whatcom Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,264,1510,0.1748,00:04.1
Bellingham Bay Medical Center,Blood Pressure NOT Controlled  >140/90 mm Hg    ,59,436,0.1407,00:04.1
Birch Bay Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,89,417,0.1937,00:04.1
Everson Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,40,234,0.2511,00:04.1
Family Health Associates,Blood Pressure NOT Controlled  >140/90 mm Hg    ,61,621,0.0873,00:04.1
Ferndale Family Medical Center,Blood Pressure NOT Controlled  >140/90 mm Hg    ,65,622,0.1088,00:04.1
Island Family Physicians,Blood Pressure NOT Controlled  >140/90 mm Hg    ,91,463,0.1804,00:04.1
Lynden Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,136,802,0.1651,00:04.1
North Cascade Family Physicians,Blood Pressure NOT Controlled  >140/90 mm Hg    ,241,947,0.2533,00:04.1
North Sound Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,105,783,0.1235,00:04.1
Squalicum Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,67,441,0.1548,00:04.1
Whatcom Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,45,251,0.1617,00:04.1
Bellingham Bay Medical Center,Chlamydia,30,189,0.2248,00:04.1
Birch Bay Family Medicine,Chlamydia,7,33,0.2197,00:04.1
Everson Family Medicine,Chlamydia,2,7,0.2857,00:04.1
Family Health Associates,Chlamydia,38,128,0.285,00:04.1
Ferndale Family Medical Center,Chlamydia,35,91,0.3597,00:04.1
Island Family Physicians,Chlamydia,13,65,0.2396,00:04.1
Lynden Family Medicine,Chlamydia,21,101,0.3564,00:04.1
North Cascade Family Physicians,Chlamydia,27,82,0.5113,00:04.1
North Sound Family Medicine,Chlamydia,71,294,0.2484,00:04.1
Squalicum Family Medicine,Chlamydia,40,192,0.2447,00:04.1
Whatcom Family Medicine,Chlamydia,5,21,0.3333,00:04.1
Bellingham Bay Medical Center,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),2573,3619,0.7091,00:04.1
Birch Bay Family Medicine,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),981,1847,0.5197,00:04.1
Everson Family Medicine,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),520,939,0.6927,00:04.1
Family Health Associates,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),3115,4358,0.6985,00:04.1
Ferndale Family Medical Center,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),1839,2789,0.6584,00:04.1
Island Family Physicians,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),1501,2621,0.5989,00:04.1
Lynden Family Medicine,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),2351,3477,0.6109,00:04.1
North Cascade Family Physicians,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),3115,5235,0.5972,00:04.1
North Sound Family Medicine,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),3969,5454,0.7184,00:04.1
Squalicum Family Medicine,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),2532,3539,0.7145,00:04.1
Whatcom Family Medicine,Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),1076,1540,0.7045,00:04.1
Bellingham Bay Medical Center,Diabetes Care Gaps ,394,436,0.8986,00:04.1
Birch Bay Family Medicine,Diabetes Care Gaps ,365,417,0.8575,00:04.1
Everson Family Medicine,Diabetes Care Gaps ,225,234,0.9805,00:04.1
Family Health Associates,Diabetes Care Gaps ,568,621,0.9151,00:04.1
Ferndale Family Medical Center,Diabetes Care Gaps ,555,622,0.8887,00:04.1
Island Family Physicians,Diabetes Care Gaps ,427,463,0.9253,00:04.1
Lynden Family Medicine,Diabetes Care Gaps ,732,802,0.9184,00:04.1
North Cascade Family Physicians,Diabetes Care Gaps ,865,947,0.9216,00:04.1
North Sound Family Medicine,Diabetes Care Gaps ,709,783,0.8878,00:04.1
Squalicum Family Medicine,Diabetes Care Gaps ,427,441,0.9685,00:04.1
Whatcom Family Medicine,Diabetes Care Gaps ,233,251,0.9364,00:04.1
Bellingham Bay Medical Center,DM PTS 40 to 75 w/STATIN,254,342,0.7173,00:04.1
Birch Bay Family Medicine,DM PTS 40 to 75 w/STATIN,197,317,0.6362,00:04.1
Everson Family Medicine,DM PTS 40 to 75 w/STATIN,108,153,0.6867,00:04.1
Family Health Associates,DM PTS 40 to 75 w/STATIN,369,470,0.7792,00:04.1
Ferndale Family Medical Center,DM PTS 40 to 75 w/STATIN,321,456,0.7094,00:04.1
Island Family Physicians,DM PTS 40 to 75 w/STATIN,212,330,0.6781,00:04.1
Lynden Family Medicine,DM PTS 40 to 75 w/STATIN,411,509,0.8173,00:04.1
North Cascade Family Physicians,DM PTS 40 to 75 w/STATIN,575,762,0.7557,00:04.1
"Alexander MD, Steven",AAA Screening,,61,,37:58.2
"Alexander MD, Steven",Advance Directive - Patients >55yrs w/Advance Directive ,183,720,0.2542,38:09.0
"Alexander MD, Steven",Blood Pressure NOT Controlled  >140/90 mm Hg    ,31,170,0.1824,36:19.3
"Alexander MD, Steven",Chlamydia,1,1,1,37:46.1
