NAME,Metricname,SeenNum,SeenDenom,SeenAvg,LastUpdate
"Alexander MD, Steven",AAA Screening,4,65,0.0615,38:19.5
"Alexander MD, Steven",Advance Directive - Patients >55yrs w/Advance Directive ,184,709,0.2595,38:29.3
"Alexander MD, Steven",Blood Pressure NOT Controlled  >140/90 mm Hg    ,24,162,0.1481,37:03.6
"Alexander MD, Steven",Chlamydia,,1,,38:08.3
"Alexander MD, Steven",Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),393,558,0.7043,38:00.2
"Alexander MD, Steven",Diabetes Care Gaps ,155,162,0.9568,46:03.7
"Alexander MD, Steven",DM PTS 40 to 75 w/STATIN,80,90,0.8889,45:27.1
"Alexander MD, Steven",DM PTS 55-75 w/ACE/ARB,54,76,0.7105,45:22.5
"Alexander MD, Steven",Eye exam,87,162,0.537,37:08.3
"Alexander MD, Steven",Foot Exam,145,162,0.8951,37:13.4
"Alexander MD, Steven",HgbA1c < 7.0                     ,87,162,0.537,37:19.0
"Alexander MD, Steven",HgbA1c NOT > 9.0 (poor control) ,148,162,0.9136,37:25.0
"Alexander MD, Steven",Hypertension Patients 18-59 years BP <140/90,71,85,0.8353,37:40.5
"Alexander MD, Steven",Hypertension Patients over 18 BP <140/90,396,437,0.9062,37:52.1
"Alexander MD, Steven",Hypertension Patients over 59 years BP <150/90,340,360,0.9444,37:45.6
"Alexander MD, Steven",Mammogram Ages 52 -74,123,191,0.644,38:12.8
"Alexander MD, Steven",Nephropathy Assessment,136,162,0.8395,37:30.2
"Alexander MD, Steven",Pap Smear Report,135,273,0.4945,46:09.2
"Alexander MD, Steven",Pneumovax - DM patients w/current pneumovax,152,162,0.9383,38:35.2
"Alexander MD, Steven",Pneumovax - Patients Age>65 w/current pneumovax,413,475,0.8695,38:41.0
"Alexander MD, Steven",Pneumovax - Smokers w/current pneumovax,46,72,0.6389,38:47.7
"Alexander MD, Steven",Smoking Cessation Advice or Treatment ,11,11,1,37:36.4
"Alexander MD, Steven",Statin patients with LDL in the past 365 days,333,379,0.8786,46:35.8
"Alexander MD, Steven",TD - Patients >18yrs with TD in last 10 years,1009,1265,0.7976,38:55.2
"Alexander MD, Steven",WCV 3-6 yr,61,69,0.8841,25:54.1
"Anderson MD, Greg",AAA Screening,72,101,0.7129,38:19.5
"Anderson MD, Greg",Advance Directive - Patients >55yrs w/Advance Directive ,133,639,0.2081,38:29.3
"Anderson MD, Greg",Blood Pressure NOT Controlled  >140/90 mm Hg    ,16,100,0.16,37:03.6
"Anderson MD, Greg",Chlamydia,3,8,0.375,38:08.3
"Anderson MD, Greg",Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),526,662,0.7946,38:00.2
"Anderson MD, Greg",Diabetes Care Gaps ,97,100,0.97,46:03.7
"Anderson MD, Greg",DM PTS 40 to 75 w/STATIN,65,77,0.8442,45:27.1
"Anderson MD, Greg",DM PTS 55-75 w/ACE/ARB,59,65,0.9077,45:22.5
"Anderson MD, Greg",Eye exam,48,100,0.48,37:08.3
"Anderson MD, Greg",Foot Exam,85,100,0.85,37:13.4
"Anderson MD, Greg",HgbA1c < 7.0                     ,35,100,0.35,37:19.0
"Anderson MD, Greg",HgbA1c NOT > 9.0 (poor control) ,85,100,0.85,37:25.0
"Anderson MD, Greg",Hypertension Patients 18-59 years BP <140/90,101,161,0.6273,37:40.5
"Anderson MD, Greg",Hypertension Patients over 18 BP <140/90,353,449,0.7862,37:52.1
"Anderson MD, Greg",Hypertension Patients over 59 years BP <150/90,262,299,0.8763,37:45.6
"Anderson MD, Greg",Mammogram Ages 52 -74,108,162,0.6667,38:12.8
"Anderson MD, Greg",Nephropathy Assessment,84,100,0.84,37:30.2
"Anderson MD, Greg",Pap Smear Report,125,203,0.6158,46:09.2
"Anderson MD, Greg",Pneumovax - DM patients w/current pneumovax,84,100,0.84,38:35.2
"Anderson MD, Greg",Pneumovax - Patients Age>65 w/current pneumovax,298,364,0.8187,38:41.0
"Anderson MD, Greg",Pneumovax - Smokers w/current pneumovax,38,90,0.4222,38:47.7
"Anderson MD, Greg",Smoking Cessation Advice or Treatment ,5,5,1,37:36.4
"Anderson MD, Greg",Statin patients with LDL in the past 365 days,257,355,0.7239,46:35.8
